station_id,name,capacity,num_bikes_available,num_docks_available,lat,lon,is_renting,is_returning
7258,Queen St E / Rushbrooke Ave,15,14,0,43.6626628,-79.3323698,TRUE,TRUE
7259,Lower Spadina Ave / Lake Shore Blvd W,19,8,11,43.638497,-79.39192,TRUE,TRUE
7260,Spadina Ave / Adelaide St W,15,13,2,43.6472019,-79.3953394,TRUE,TRUE
7261,Queens Quay E / Lower Sherbourne St,25,11,13,43.645215,-79.364898,TRUE,TRUE
7262,Wychwood Ave / Benson Ave - SMART,16,0,16,43.6809164,-79.4229684,TRUE,TRUE
7264,Bloor St E / Huntley St - SMART,20,1,16,43.671535,-79.379173,TRUE,TRUE
7265,Wallace Ave / Symington Ave - SMART,12,4,8,43.661324,-79.449534,TRUE,TRUE
7266,Victoria Park Subway Station - SMART,20,0,19,43.6940155,-79.2889842,TRUE,TRUE
7267,Dundas St E / Pembroke St - SMART,16,1,15,43.658295,-79.372346,TRUE,TRUE
7268,111 Bond St (North of Dundas St E)  - SMART,16,5,11,43.656927,-79.378497,TRUE,TRUE
7269,Toronto Eaton Centre (Yonge St) - SMART,20,19,0,43.655431,-79.380653,TRUE,TRUE
7270,Church St / Dundas St E - SMART,20,0,20,43.657024,-79.377257,TRUE,TRUE
7271,Yonge St / Alexander St - SMART,18,2,14,43.662862,-79.383572,TRUE,TRUE
7272,Yonge St / Dundonald St - SMART,12,3,8,43.665801,-79.384796,TRUE,TRUE
7273,Bay St / Charles St W - SMART,20,1,18,43.668153,-79.38891,TRUE,TRUE
7274,Queen's Park Cres E / Grosvenor St - SMART,16,13,3,43.661803,-79.389682,TRUE,TRUE
7276,Bloor St W / Balmuto St,11,5,3,43.66981064,-79.38801107,TRUE,TRUE
7277,Chorley Park - SMART,20,0,20,43.6856,-79.3718,TRUE,TRUE
7278,Mallon Ave / Jones Ave -SMART,16,13,3,43.66587,-79.33443,TRUE,TRUE
7279,Rosehill Ave / Avoca Ave - SMART,0,0,0,43.687999,-79.38906,TRUE,TRUE
7280,Charles St E / Jarvis St - SMART,20,0,18,43.669604,-79.381171,TRUE,TRUE
7281,Charles St W / Balmuto St - SMART,24,0,24,43.668427,-79.38725,TRUE,TRUE
7282,Adelaide St W / Bay St,23,21,1,43.650152,-79.379856,TRUE,TRUE
7283,Front St W / Bay St (South Side),19,17,1,43.64595,-79.378761,TRUE,TRUE
7284,University Ave / King St W - SMART,24,22,1,43.6477785,-79.3847928,TRUE,TRUE
7285,Spadina Ave / Harbord St - SMART,36,7,29,43.6629228,-79.4018451,TRUE,TRUE
7286,Gerrard St E / Broadview Ave  - SMART,18,3,14,43.665656,-79.352055,TRUE,TRUE
7287,Queen St E / Pape Ave - SMART,16,10,6,43.661673,-79.337789,TRUE,TRUE
7288,Humber Bay Shores Park West,31,21,7,43.6224434,-79.480284,TRUE,TRUE
7289,Humber Bay Shores Park East,22,16,4,43.6308933,-79.4722622,TRUE,TRUE
7291,190 Queens Quay E,15,6,7,43.6451308,-79.3653644,TRUE,TRUE
7292,Granby St / Church St - SMART,24,12,11,43.6614605,-79.3789457,TRUE,TRUE
7296,Westmoreland Ave / Fernbank Ave,19,7,10,43.665327,-79.43235,TRUE,TRUE
7297,Havelock St / Dufferin Park,18,1,17,43.657343,-79.43112,TRUE,TRUE
7298,Bathurst St / Adelaide St W,25,1,24,43.645324,-79.40345,TRUE,TRUE
7299,Mill St / Parliament St,15,8,7,43.650256,-79.36163,TRUE,TRUE
